smiles,150-10,200-10,300-10,150-20,200-20,300-20
NC1=CC=CC(F)=C1,0.16,0.15,0.15,0.36,0.34,0.34
O=C(C1=CC(C(C2=CC=CC=C2)=O)=CC=C1)C3=CC=CC=C3,0.95,0.95,0.95,0.97,0.97,0.97
CC1=C(C2=CC(F)=CC=C2/C1=C\C3=CC=C(S(C)=O)C=C3)CC(O)=O,1.00,1.00,1.00,1.00,1.00,1.00
CCN(CC)c1ccc2C=C(C(=O)Oc2c1)c3sc4ccccc4n3,1.00,1.00,1.00,1.00,1.00,1.00
Cc1cc(nc(c1)C(C)(C)C)C(C)(C)C,1.00,1.00,1.00,1.00,1.00,1.00
C1=CC(=CC=C1O)Br,0.35,0.27,0.36,0.48,0.35,0.48
CC1=CC(=O)NC(=N1)N,0.51,0.52,0.64,0.54,0.57,0.70
CC=CC1=CC=C(C=C1)OC,0.28,0.19,0.29,0.43,0.32,0.47
CC1=NC(N)=CC=C1Br,0.56,0.53,0.58,0.66,0.64,0.64
NC1=CN=C(N)C=C1,0.61,0.66,0.71,0.74,0.81,0.81
COC(NC1=NC2=C(C=C(SC3=CC=CC=C3)C=C2)N1)=O,0.96,0.96,0.94,0.98,0.96,0.95
C1=CC=C(C(=C1)C(=O)O)C(F)(F)F,0.82,0.71,0.88,0.88,0.78,0.88
NCC1=CC=CC=C1N,0.95,0.95,0.96,0.94,0.94,0.96
O=C1NC2=C(C=C(F)C=C2)C1=O,0.72,0.70,0.74,0.77,0.75,0.78
C1=CC=C(C(=C1)C(=O)O)F,0.44,0.37,0.46,0.66,0.58,0.65
C1=CC(=CC(=C1)C(F)(F)F)C(=O)O,0.81,0.70,0.82,0.88,0.80,0.88
O=C(O)C1=CC=C(F)C=C1,0.72,0.72,0.76,0.80,0.83,0.85
C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,1.00,1.00,1.00,1.00,1.00,1.00
ClC1=CN=CC(Cl)=N1,0.13,0.16,0.21,0.03,0.06,0.16
C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35,0.99,0.99,1.00,0.99,0.99,1.00
C12C3=C(C=CC=C3)C(C4=C2C=CC=C4)C5=C1C=CC=C5,1.00,1.00,1.00,1.00,1.00,1.00
O=C(O)C1=C(C)C=C(C)C=C1C,0.98,0.98,0.99,1.00,1.00,1.00
O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3,0.72,0.52,0.07,0.60,0.40,-0.01
O=C(C(C)=C1)C(C=CC=C2)=C2C1=O,0.53,0.38,0.56,0.66,0.49,0.67
CC1=CC2=C(C=C1)NC=C2,0.44,0.40,0.37,0.51,0.44,0.38
COC1=CC(CO)=CC=C1O,0.62,0.92,0.92,0.82,0.97,0.97
C(#Cc1ccccc1)c1ccccc1,0.70,0.68,0.69,0.79,0.78,0.80
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0.98,0.95,0.95,0.98,0.99,0.92
C1=CC=NC(=C1)N,0.17,0.15,0.14,0.21,0.18,0.10
O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1,1.00,1.00,1.00,1.00,1.00,1.00
C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,1.00,1.00,1.00,1.00,1.00,1.00
COC1=CC2=C(C=C1)C=C(C=C2)Br,0.55,0.49,0.50,0.63,0.56,0.53
C12=CC=CC=C1NC=N2,0.71,0.71,0.65,0.78,0.78,0.73
C1=C(NC=N1)CCN,0.47,0.46,0.51,0.54,0.53,0.56
Nc1ccc2[nH]ccc2c1,0.38,0.35,0.30,0.43,0.41,0.32
CCOC(=O)C1=CC=C(C=C1)I,0.57,0.48,0.45,0.62,0.48,0.37
O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],0.70,0.66,0.71,0.75,0.71,0.76
O=C(N1O)C2=CC=CC=C2C1=O,0.65,0.66,0.70,0.73,0.73,0.77
Cc1cc(O)cc(C)c1C,0.84,0.83,0.89,0.87,0.87,0.92
OC1CCCC2=C1C=CC=C2,0.77,0.77,0.79,0.88,0.87,0.88
C1OC2=C(O1)C=C(C=C2)O,0.33,0.81,0.84,0.53,0.88,0.88
O=C(O)C1=CC(N)=CC(N)=C1,0.52,0.53,0.55,0.67,0.65,0.65
C#Cc1ccccc1,0.15,0.04,0.11,0.20,0.13,0.11
O=C(OC)C1=CC=C(C(OC)=O)C=C1N,0.76,0.72,0.77,0.80,0.77,0.81
C1=CC(=CC2=C1C=CN2)Cl,0.44,0.41,0.39,0.49,0.44,0.39
